out, count
998,1
999,1
1001,16
1002,1
1003,11
1004,2
1005,7
1006,6
1007,13
1008,10
1009,23
1011,5
1013,12
1014,13
1015,27
1016,1
1017,19
1018,14
1019,26
1021,3
1022,26
1023,1
1024,16
1025,1
1026,15
1027,2
1028,14
1029,2
1030,27
1031,10
1033,11
1034,18
1035,6
1036,9
1038,7
1040,6
1041,31
1043,7
1044,2
1045,6
1046,4
1047,8
1048,3
1049,4
1050,2
1051,1
1053,12
1054,6
1055,10
1056,1
1057,21
1059,19
1061,19
1062,3
1063,44
1064,15
1065,9
1066,25
1067,29
1068,38
1069,94
1070,6
1071,11
1072,13
1073,17
1074,25
1075,20
1076,1
1077,26
1078,2
1079,40
1080,18
1081,24
1082,5
1083,1
1084,11
1085,66
1086,1
1087,17
1088,15
1089,5
1090,14
1091,5
1092,38
1093,39
1095,2
1096,17
1097,4
1098,3
1099,53
1100,7
1102,2
1103,49
1104,2
1105,24
1106,2
1107,3
1109,5
1110,37
1112,13
1113,2
1114,1
1115,13
1116,2
1117,12
1118,11
1119,2
1120,15
1122,4
1124,8
1125,16
1126,1
1127,4
1128,17
1129,36
1130,1
1131,6
1132,13
1133,5
1134,14
1135,15
1136,1
1137,3
1138,2
1139,4
1140,5
1141,2
1142,3
1143,9
1144,14
1145,1
1146,17
1147,17
1148,8
1149,1
1150,1
1151,5
1152,2
1153,4
1154,2
1155,3
1156,30
1157,2
1158,5
1159,2
1161,3
1164,17
1165,24
1166,9
1167,2
1168,4
1169,37
1170,3
1171,3
1172,3
1173,30
1174,7
1175,2
1176,12
1177,2
1178,17
1181,2
1182,13
1183,14
1184,4
1185,10
1186,1
1187,2
1188,20
1189,8
1190,6
1191,1
1192,19
1193,56
1194,22
1195,1
1196,1
1197,18
1198,14
1199,3
1200,46
1201,2
1202,17
1203,3
1204,10
1205,12
1206,6
1207,12
1208,8
1209,1
1210,2
1211,1
1212,1
1213,1
